"Date","Price","Open","High","Low","Vol.","Change %"
"May 18 2020","9665.2","9668.2","9941.1","9462.4","13.31K","-0.03%"
"May 17 2020","9668.2","9388.0","9877.7","9334.2","9.66K","2.98%"
"May 16 2020","9388.0","9313.3","9580.0","9224.0","4.16K","0.80%"
"May 15 2020","9313.3","9791.0","9836.5","9133.6","11.34K","-4.88%"
"May 14 2020","9791.0","9312.0","9937.8","9267.5","12.87K","5.14%"
"May 13 2020","9312.0","8811.4","9403.2","8799.5","9.89K","5.68%"
"May 12 2020","8811.4","8555.0","8967.0","8526.6","5.65K","3.00%"
"May 11 2020","8555.0","8726.0","9135.8","8211.1","20.56K","-1.96%"
"May 10 2020","8726.0","9537.7","9557.5","8107.4","26.50K","-8.51%"
"May 09 2020","9537.9","9792.2","9900.0","9499.0","8.26K","-2.60%"
"May 08 2020","9792.8","9991.0","10025.0","9713.8","12.20K","-1.87%"
"May 07 2020","9979.6","9150.4","10045.0","9050.0","19.87K","8.97%"
"May 06 2020","9157.9","9020.0","9415.1","8918.3","8.73K","1.53%"
"May 05 2020","9020.1","8871.2","9119.8","8770.9","7.71K","1.74%"
"May 04 2020","8865.8","8901.6","8959.0","8535.0","9.32K","-0.38%"
"May 03 2020","8899.8","8982.3","9198.0","8738.5","9.72K","-0.92%"
"May 02 2020","8982.3","8822.9","8999.0","8763.0","5.09K","1.81%"
"May 01 2020","8822.9","8630.8","9069.9","8630.8","7.92K","2.17%"
"Apr 30 2020","8635.3","8773.8","9438.8","8416.0","29.83K","-1.57%"
"Apr 29 2020","8773.3","7750.7","8918.0","7706.1","30.21K","13.12%"
"Apr 28 2020","7755.8","7777.6","7777.7","7658.6","5.62K","-0.28%"
"Apr 27 2020","7777.7","7698.0","7777.7","7623.4","6.90K","1.05%"
"Apr 26 2020","7697.1","7538.5","7697.1","7487.0","5.32K","2.10%"
"Apr 25 2020","7538.5","7508.4","7700.0","7450.1","5.17K","0.42%"
"Apr 24 2020","7506.8","7499.0","7614.0","7428.3","8.80K","0.15%"
"Apr 23 2020","7495.2","7133.3","7744.9","7047.4","16.38K","5.08%"
"Apr 22 2020","7133.0","6849.9","7164.0","6826.2","5.15K","4.13%"
"Apr 21 2020","6850.0","6835.0","6955.6","6770.7","6.46K","0.12%"
"Apr 20 2020","6841.9","7133.4","7235.0","6767.1","9.96K","-4.09%"
"Apr 19 2020","7133.3","7268.8","7285.4","7058.7","4.74K","-1.87%"
"Apr 18 2020","7269.1","7045.9","7300.1","7044.9","5.20K","3.17%"
